"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","merge_col"
"WGN07","C",57,114,"WGN07D57",122,"STP",2017,1,19,28,NA,"WGN07D57_STP_2017_1"
"WGN07","C",57,114,"WGN07D57",1407,"STP",2017,2,53,20,NA,"WGN07D57_STP_2017_2"
"WGN07","D",58,115,"WGN07C58",58,"STP",2017,1,5,24,NA,"WGN07C58_STP_2017_1"
"WGN07","D",58,115,"WGN07C58",1343,"STP",2017,2,58,6,NA,"WGN07C58_STP_2017_2"
"WGN07","C",58,116,"WGN07D58",123,"STP",2017,1,15,36,NA,"WGN07D58_STP_2017_1"
"WGN07","C",58,116,"WGN07D58",1408,"STP",2017,2,43,30,NA,"WGN07D58_STP_2017_2"
"WGN07","D",59,117,"WGN07C59",59,"STP",2017,1,5,9,NA,"WGN07C59_STP_2017_1"
"WGN07","D",59,117,"WGN07C59",1344,"STP",2017,2,42,5,NA,"WGN07C59_STP_2017_2"
"WGN07","C",59,118,"WGN07D59",124,"STP",2017,1,24,24,NA,"WGN07D59_STP_2017_1"
"WGN07","C",59,118,"WGN07D59",1409,"STP",2017,2,38,24,NA,"WGN07D59_STP_2017_2"
"WGN07","D",60,119,"WGN07C60",60,"STP",2017,1,21,23,NA,"WGN07C60_STP_2017_1"
"WGN07","D",60,119,"WGN07C60",1345,"STP",2017,2,35,38,NA,"WGN07C60_STP_2017_2"
"WGN07","C",60,120,"WGN07D60",125,"STP",2017,1,4,10,NA,"WGN07D60_STP_2017_1"
"WGN07","C",60,120,"WGN07D60",1410,"STP",2017,2,50,38,NA,"WGN07D60_STP_2017_2"
"WGN07","D",61,121,"WGN07C61",61,"STP",2017,1,4,22,NA,"WGN07C61_STP_2017_1"
"WGN07","D",61,121,"WGN07C61",1346,"STP",2017,2,38,19,NA,"WGN07C61_STP_2017_2"
"WGN07","C",61,122,"WGN07D61",126,"STP",2017,1,22,24,NA,"WGN07D61_STP_2017_1"
"WGN07","C",61,122,"WGN07D61",1411,"STP",2017,2,63,19,NA,"WGN07D61_STP_2017_2"
"WGN07","D",62,123,"WGN07C62",62,"STP",2017,1,2,3,NA,"WGN07C62_STP_2017_1"
"WGN07","D",62,123,"WGN07C62",1347,"STP",2017,2,54,13,NA,"WGN07C62_STP_2017_2"
"WGN07","C",62,124,"WGN07D62",127,"STP",2017,1,1,3,NA,"WGN07D62_STP_2017_1"
"WGN07","C",62,124,"WGN07D62",1412,"STP",2017,2,57,26,NA,"WGN07D62_STP_2017_2"
