"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"100","48","9.666666667","0.344827586","2.76","14.723696","0.438853813","0.816091954","0.7246196","8.585",23.6666666666667,"WGN07D63_STP_2017_1",14,6
"95","30","9.666666667","0.52","2.126666667","13.347836","0.413343328","0.92","0.5970036","7.35",23,"WGN07D64_STP_2017_1",19.8,7
"110","79","7.333333333","0.52","2.003333333","24.352834","0.607234792","0.813333333","0.763430364","9.065",20.3333333333333,"WGN07D65_STP_2017_1",26,7
"135","79","9.333333333","0.517241379","2.266666667",NA,"0.490178571","0.643678161","0.56814","8.81",18.6666666666667,"WGN15C01_STP_2017_1",18,8
"120","96","8","0.433333333","2.21","38.82075","0.570895522","0.744444444","0.892925","8.833",22.3333333333333,"WGN15C02_STP_2017_1",20,6
"110","55","8.666666667","0.607594937","2.363333333","16.632944","0.488461538","0.797468354","0.8209444","9.38",21,"WGN15C03_STP_2017_1",23.1,8
"130","55","9.333333333","0.362637363","2.15","24.55677","0.427663438","0.648351648","0.736057","9.862",19.6666666666667,"WGN15C04_STP_2017_1",23.1,6
"110","61","8","0.6","1.643333333","15.76453","0.597836538","0.742857143","0.717253","10.921",17.3333333333333,"WGN15C05_STP_2017_1",20,7
"130","92","8","0.670212766","2.14","34.750924","0.515073529","0.723404255","0.8173724","9.079",22.6666666666667,"WGN15C06_STP_2017_1",19,7
"130","89","8.333333333","0.72","1.946666667","28.31488","0.621957447","0.626666667","0.719488","11.571",15.6666666666667,"WGN15C07_STP_2017_1",24.7,8
"110","53","9.333333333","0.455696203","2.376666667","15.640953","0.458163265","0.797468354","0.8109353","9.513",21,"WGN15C08_STP_2017_1",24.7,8
"135","54","7.666666667","0.649484536","2.143333333","28.39565","0.628423102","0.690721649","0.971065","9.754",22.3333333333333,"WGN15C09_STP_2017_1",22,9
"125","91",NA,NA,NA,NA,NA,NA,NA,"8.656",NA,"WGN15C10_STP_2017_1",18,6
"120","78","9.333333333","0.517241379","2.29","39.583891","0.473185012","0.701149425","0.9175391","11.117",20.3333333333333,"WGN15C11_STP_2017_1",25.2,7
"130","110","8.666666667","0.758241758","2.463333333","56.066036","0.455769231","0.725274725","0.8246836","10.267",22,"WGN15C12_STP_2017_1",25,9
"125","48","9","0.56043956","2.346666667","14.83","0.482142857","0.615384615","0.873","11.571",18.6666666666667,"WGN15C13_STP_2017_1",22,8
"125","68","9.333333333","0.566666667","2.503333333","46.338566","0.469387755","0.7","0.868115091","9.171",21,"WGN15C14_STP_2017_1",27.3,8
"135","75","8.333333333","0.76433121","2.196666667","35.14104","0.546711864","0.751592357","0.733304","10.764",19.6666666666667,"WGN15C15_STP_2017_1",29.9,8
"135","78","8.333333333","0.647727273","2.166666667","23.663164","0.446896552","0.659090909","0.732487636","10.754",19.3333333333333,"WGN15C16_STP_2017_1",19,7
